品牌索引,品牌名称,车系名称,品牌ID,车系ID,汽车型号,发动机型号,气缸数,气缸排列形式,气门数,排量,环保标准,燃料形式,燃油标号,变速箱,上市时间,整车质保,座位数（个）
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 35 TFSI 进取致雅型 27.18万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 35 TFSI 进取动感型 27.18万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 35 TFSI 时致雅型 28.68万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 35 TFSI 时动感型 28.68万,,4,L,4,1395,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 40 TFSI 时致雅型 30.18万,DKV,4,L,4,1984,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 40 TFSI 时动感型 30.18万,DKV,4,L,4,1984,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 40 TFSI quattro 时动感型 31.88万,DKV,4,L,4,1984,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2019款 45 TFSI quattro 动感型 35.98万,,4,L,4,1984,VI,汽油,95,7挡双离合,2019.04,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2018款 30 TFSI 时型典藏 26.00万,,4,L,4,1395,V,汽油,95,6挡双离合,,三10万公里,5
A,奥迪,一汽-大众奥迪,33,2951,Q3 2018款 30 TFSI 型典藏 28.28万,,4,L,4,1395,V,汽油,95,6挡双离合,,三10万公里,5
