2019-06-28 17:07:26,196 | Spider | INFO  | <font color="red">机场[北京首都]航班号[SQ807]出发地[北京首都]目的地[新加坡]延误时间[46],不符合条件</font>
2019-06-28 17:07:27,379 | Spider | INFO  | <font color="green">[CX331]航班延误时间计算中...</font>
2019-06-28 17:07:28,672 | Spider | INFO  | CX331 香港 16:40 17:35
2019-06-28 17:07:28,672 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CX331]出发地[北京首都]目的地[香港]延误时间[55],不符合条件</font>
2019-06-28 17:07:28,968 | Spider | INFO  | <font color="green">[DL188]航班延误时间计算中...</font>
2019-06-28 17:07:29,360 | Spider | INFO  | DL188 底特律 16:50 17:25
2019-06-28 17:07:29,362 | Spider | INFO  | <font color="red">机场[北京首都]航班号[DL188]出发地[北京首都]目的地[底特律]延误时间[35],不符合条件</font>
2019-06-28 17:07:29,504 | Spider | INFO  | <font color="green">[PK853]航班延误时间计算中...</font>
2019-06-28 17:07:29,803 | Spider | INFO  | PK853 伊斯兰堡 17:45 19:34
2019-06-28 17:07:29,805 | Spider | INFO  | <font color="red">机场[北京首都]航班号[PK853]出发地[北京首都]目的地[伊斯兰堡]延误时间[109],不符合条件</font>
2019-06-28 17:07:29,917 | Spider | INFO  | <font color="green">[CZ6218]航班延误时间计算中...</font>
2019-06-28 17:07:30,103 | Spider | INFO  | CZ6218 哈尔滨 17:50 19:23
2019-06-28 17:07:30,103 | Spider | INFO  | <font color="red">机场[北京首都]航班号[CZ6218]出发地[北京首都]目的地[哈尔滨]延误时间[93],不符合条件</font>
2019-06-28 17:07:30,104 | Spider | INFO  | 更新航班记录成功!
2019-06-28 17:07:30,104 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-28 17:07:45,671 | Spider | INFO  | [CA855]航班已处理
2019-06-28 17:07:45,718 | Spider | INFO  | [CA1807]航班已处理
2019-06-28 17:07:45,840 | Spider | INFO  | [JL22]航班已处理
2019-06-28 17:07:45,884 | Spider | INFO  | [UA889]航班已处理
2019-06-28 17:07:45,937 | Spider | INFO  | [CZ323]航班已处理
2019-06-28 17:07:45,972 | Spider | INFO  | [MU781]航班已处理
2019-06-28 17:07:46,003 | Spider | INFO  | [CA1571]航班已处理
