2019-06-26 16:36:41,426 | Spider | INFO  | <font color="green">[HU7594]航班延误时间计算中...</font>
2019-06-26 16:36:55,604 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[HU7594]出发地[南京禄口]目的地[汉中]延误时间[43],不符合条件</font>
2019-06-26 16:36:55,820 | Spider | INFO  | <font color="green">[CZ6581]航班延误时间计算中...</font>
2019-06-26 16:37:16,144 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ6581]出发地[南京禄口]目的地[珠海]延误时间[30],不符合条件</font>
2019-06-26 16:37:16,354 | Spider | INFO  | <font color="green">[SC4728]航班延误时间计算中...</font>
2019-06-26 16:37:36,475 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[SC4728]出发地[南京禄口]目的地[西宁]延误时间[78],不符合条件</font>
2019-06-26 16:37:36,729 | Spider | INFO  | <font color="green">[CZ3412]航班延误时间计算中...</font>
2019-06-26 16:37:55,810 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ3412]出发地[南京禄口]目的地[乌鲁木齐]延误时间[55],不符合条件</font>
2019-06-26 16:37:55,869 | Spider | INFO  | <font color="green">[CA4506]航班延误时间计算中...</font>
2019-06-26 16:38:10,799 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CA4506]出发地[南京禄口]目的地[澳门]延误时间[53],不符合条件</font>
2019-06-26 16:38:11,030 | Spider | INFO  | <font color="green">[SC4921]航班延误时间计算中...</font>
2019-06-26 16:38:41,278 | Spider | INFO  | <font color="red">读取航班时间失败!重试[1]...</font>
2019-06-26 16:38:45,928 | Spider | INFO  | <font color="green">[CZ3412]航班延误时间计算中...</font>
2019-06-26 16:39:02,103 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ3412]出发地[南京禄口]目的地[西宁]延误时间[78],不符合条件</font>
2019-06-26 16:39:02,300 | Spider | INFO  | <font color="green">[NX127]航班延误时间计算中...</font>
2019-06-26 16:39:16,282 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[NX127]出发地[南京禄口]目的地[澳门]延误时间[43],不符合条件</font>
2019-06-26 16:39:16,953 | Spider | INFO  | <font color="green">[SC4921]航班延误时间计算中...</font>
2019-06-26 16:39:41,211 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[SC4921]出发地[南京禄口]目的地[烟台]延误时间[72],不符合条件</font>
2019-06-26 16:39:41,281 | Spider | INFO  | <font color="green">[PN6296]航班延误时间计算中...</font>
2019-06-26 16:39:52,343 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[PN6296]出发地[南京禄口]目的地[贵阳]延误时间[43],不符合条件</font>
2019-06-26 16:39:52,382 | Spider | INFO  | <font color="green">[HU7594]航班延误时间计算中...</font>
2019-06-26 16:40:07,754 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[HU7594]出发地[南京禄口]目的地[汉中]延误时间[43],不符合条件</font>
2019-06-26 16:40:08,671 | Spider | INFO  | <font color="green">[CZ6581]航班延误时间计算中...</font>
2019-06-26 16:40:27,170 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[CZ6581]出发地[南京禄口]目的地[珠海]延误时间[30],不符合条件</font>
2019-06-26 16:40:27,207 | Spider | INFO  | <font color="green">[SC4728]航班延误时间计算中...</font>
2019-06-26 16:40:42,548 | Spider | INFO  | <font color="red">机场[南京禄口]航班号[SC4728]出发地[南京禄口]目的地[烟台]延误时间[65],不符合条件</font>
2019-06-26 16:40:42,643 | Spider | INFO  | <font color="green">[MU2729]航班延误时间计算中...</font>
2019-06-26 16:40:57,598 | Spider | INFO  | <font color="green">content:机场[南京禄口]航班号[MU2729]出发地[南京禄口]目的地[海口]延误时间[1383]</font>
2019-06-26 16:40:57,600 | Spider | INFO  | 更新航班记录成功!
2019-06-26 16:40:57,600 | Spider | INFO  | 读取已处理航班记录成功!
2019-06-26 16:40:57,849 | Spider | INFO  | <font color="green">[MU2853]航班延误时间计算中...</font>
2019-06-26 16:41:27,465 | Spider | INFO  | <font color="red">读取航班时间失败!重试[2]...</font>
2019-06-26 16:41:27,466 | Spider | INFO  | <font color="red">读取航班时间失败!暂时跳过...</font>
2019-06-26 16:41:30,670 | Spider | INFO  | [十堰武当山]：机场航班信息获取中...
