2019-06-16 04:16:41,656 | Spider | INFO  | 即将修改商家编码[B37342], ID[596703754064], 尺码[41]，初始金额[999.00]，Excel金额[999], 增减金额[0], 修改后金额[999.0]的商品信息
2019-06-16 04:16:41,825 | Spider | INFO  | 修改商家编码[B37342], ID[596703754064]价格成功，请刷新后查看...
2019-06-16 04:16:41,913 | Spider | INFO  | 获取商家编码[EF2438], ID[596703610013]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:41,914 | Spider | INFO  | 即将修改商家编码[EF2438], ID[596703610013], 尺码[40.5]，初始金额[2499.00]，Excel金额[2499], 增减金额[0], 修改后金额[2499.0]的商品信息
2019-06-16 04:16:41,914 | Spider | INFO  | 即将修改商家编码[EF2438], ID[596703610013], 尺码[41]，初始金额[2309.00]，Excel金额[2309], 增减金额[0], 修改后金额[2309.0]的商品信息
2019-06-16 04:16:42,097 | Spider | INFO  | 修改商家编码[EF2438], ID[596703610013]价格成功，请刷新后查看...
2019-06-16 04:16:42,187 | Spider | INFO  | 获取商家编码[BA7325], ID[596703542043]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:42,188 | Spider | INFO  | 即将修改商家编码[BA7325], ID[596703542043], 尺码[40.5]，初始金额[2829.00]，Excel金额[2829], 增减金额[0], 修改后金额[2829.0]的商品信息
2019-06-16 04:16:42,189 | Spider | INFO  | 即将修改商家编码[BA7325], ID[596703542043], 尺码[41]，初始金额[2299.00]，Excel金额[2299], 增减金额[0], 修改后金额[2299.0]的商品信息
2019-06-16 04:16:42,381 | Spider | INFO  | 修改商家编码[BA7325], ID[596703542043]价格成功，请刷新后查看...
2019-06-16 04:16:42,383 | Spider | INFO  | 程序等待60秒后继续运行：防止操作太快出错
2019-06-16 04:16:45,516 | Spider | INFO  | 获取商家编码[BB1826], ID[596686342067]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:45,516 | Spider | INFO  | 即将修改商家编码[BB1826], ID[596686342067], 尺码[40]，初始金额[6059.00]，Excel金额[6059], 增减金额[0], 修改后金额[6059.0]的商品信息
2019-06-16 04:16:45,517 | Spider | INFO  | 即将修改商家编码[BB1826], ID[596686342067], 尺码[41]，初始金额[7329.00]，Excel金额[7329], 增减金额[0], 修改后金额[7329.0]的商品信息
2019-06-16 04:16:45,518 | Spider | INFO  | 即将修改商家编码[BB1826], ID[596686342067], 尺码[42]，初始金额[5729.00]，Excel金额[5729], 增减金额[0], 修改后金额[5729.0]的商品信息
2019-06-16 04:16:45,696 | Spider | INFO  | 修改商家编码[BB1826], ID[596686342067]价格成功，请刷新后查看...
2019-06-16 04:16:45,775 | Spider | INFO  | 获取商家编码[DY0567], ID[596685622822]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:45,974 | Spider | INFO  | 修改商家编码[DY0567], ID[596685622822]价格成功，请刷新后查看...
2019-06-16 04:16:46,054 | Spider | INFO  | 获取商家编码[B75571], ID[596685722500]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:46,055 | Spider | INFO  | 即将修改商家编码[B75571], ID[596685722500], 尺码[40]，初始金额[2999.00]，Excel金额[2999], 增减金额[0], 修改后金额[2999.0]的商品信息
2019-06-16 04:16:46,056 | Spider | INFO  | 即将修改商家编码[B75571], ID[596685722500], 尺码[41]，初始金额[3019.00]，Excel金额[3019], 增减金额[0], 修改后金额[3019.0]的商品信息
2019-06-16 04:16:46,056 | Spider | INFO  | 即将修改商家编码[B75571], ID[596685722500], 尺码[42]，初始金额[3099.00]，Excel金额[3099], 增减金额[0], 修改后金额[3099.0]的商品信息
2019-06-16 04:16:46,225 | Spider | INFO  | 修改商家编码[B75571], ID[596685722500]价格成功，请刷新后查看...
2019-06-16 04:16:46,307 | Spider | INFO  | 获取商家编码[553558-116], ID[596272060739]商品详情信息成功, 共存在[3]种商品尺码
2019-06-16 04:16:46,308 | Spider | INFO  | 即将修改商家编码[553558-116], ID[596272060739], 尺码[40]，初始金额[899.00]，Excel金额[899], 增减金额[0], 修改后金额[899.0]的商品信息
2019-06-16 04:16:46,309 | Spider | INFO  | 即将修改商家编码[553558-116], ID[596272060739], 尺码[41]，初始金额[899.00]，Excel金额[899], 增减金额[0], 修改后金额[899.0]的商品信息
2019-06-16 04:16:46,311 | Spider | INFO  | 即将修改商家编码[553558-116], ID[596272060739], 尺码[42]，初始金额[879.00]，Excel金额[879], 增减金额[0], 修改后金额[879.0]的商品信息
2019-06-16 04:16:46,503 | Spider | INFO  | 修改商家编码[553558-116], ID[596272060739]价格成功，请刷新后查看...
2019-06-16 04:16:46,595 | Spider | INFO  | 获取商家编码[CP9654(2018)], ID[596235148142]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:46,596 | Spider | INFO  | 即将修改商家编码[CP9654(2018)], ID[596235148142], 尺码[42]，初始金额[2859.00]，Excel金额[2859], 增减金额[0], 修改后金额[2859.0]的商品信息
2019-06-16 04:16:46,596 | Spider | INFO  | 即将修改商家编码[CP9654(2018)], ID[596235148142], 尺码[41]，初始金额[2919.00]，Excel金额[2919], 增减金额[0], 修改后金额[2919.0]的商品信息
2019-06-16 04:16:46,818 | Spider | INFO  | 修改商家编码[CP9654(2018)], ID[596235148142]价格成功，请刷新后查看...
2019-06-16 04:16:46,904 | Spider | INFO  | 获取商家编码[DY0572], ID[596406749100]商品详情信息成功, 共存在[2]种商品尺码
2019-06-16 04:16:47,062 | Spider | INFO  | 修改商家编码[DY0572], ID[596406749100]价格成功，请刷新后查看...
2019-06-16 04:16:47,063 | Spider | INFO  | 所有商品更新完成
2019-06-16 04:16:47,064 | Spider | INFO  | 总计匹配[25]条商品信息, 修改成功[25]条，修改失败[0]条，失败原因请查看更新日志! ]
2019-06-16 04:16:47,065 | Spider | INFO  | 程序执行用时：0:00:46.807068s
