,品牌索引,品牌名称,车系名称,车型,ID,时间
174,B,北汽威旺,北京汽车,北汽威旺306,2482,2019-07-11 14:56:49.627182
175,B,北汽威旺,北京汽车,北汽威旺307,3231,2019-07-11 14:56:49.627182
176,B,北汽威旺,北京汽车,北汽威旺M20,3191,2019-07-11 14:56:49.627182
177,B,北汽威旺,北京汽车,北汽威旺M30,3916,2019-07-11 14:56:49.627182
178,B,北汽威旺,北京汽车,北汽威旺M50F,4154,2019-07-11 14:56:49.627182
179,B,北汽威旺,北京汽车,北汽威旺M60,4553,2019-07-11 14:56:49.627182
180,B,北汽威旺,北京汽车,北汽威旺S50,4009,2019-07-11 14:56:49.627182
181,B,北汽威旺,北京汽车,北汽威旺205(停售),2943,2019-07-11 14:56:49.627182
182,B,北汽威旺,北京汽车,北汽威旺M35(停售),4061,2019-07-11 14:56:49.627182
183,B,北汽威旺,北京汽车,北汽威旺T205-D(停售),3428,2019-07-11 14:56:49.627182
184,B,北汽威旺,北京汽车制造厂,北汽007(停售),3712,2019-07-11 14:56:49.627182
185,B,北汽威旺,北汽新能源,北汽威旺407EV,4812,2019-07-11 14:56:49.627182
186,B,北汽新能源,北汽新能源,北汽新能源EC5,5095,2019-07-11 14:56:49.627182
187,B,北汽新能源,北汽新能源,EC系列,4264,2019-07-11 14:56:49.627182
188,B,北汽新能源,北汽新能源,EU系列,3884,2019-07-11 14:56:49.627182
189,B,北汽新能源,北汽新能源,EX系列,4015,2019-07-11 14:56:49.627182
190,B,北汽新能源,北汽新能源,北汽新能源EC3,5059,2019-07-11 14:56:49.627182
191,B,北汽新能源,北汽新能源,北汽新能源EU5,5058,2019-07-11 14:56:49.627182
192,B,北汽新能源,北汽新能源,北汽新能源EX3,5021,2019-07-11 14:56:49.627182
193,B,北汽新能源,北汽新能源,北汽新能源EX5,5022,2019-07-11 14:56:49.627182
194,B,北汽新能源,北汽新能源,EH系列(停售),4104,2019-07-11 14:56:49.627182
195,B,北汽新能源,北汽新能源,EV系列(停售),3533,2019-07-11 14:56:49.627182
196,B,北汽新能源,北汽新能源,北汽新能源ES210(停售),3537,2019-07-11 14:56:49.627182
197,B,北汽制造,北京汽车制造厂,BJ 212,3035,2019-07-11 14:56:49.627182
198,B,北汽制造,北京汽车制造厂,北京BW007,2126,2019-07-11 14:56:49.627182
199,B,北汽制造,北京汽车制造厂,陆霸,966,2019-07-11 14:56:49.627182
200,B,北汽制造,北京汽车制造厂,锐铃,2915,2019-07-11 14:56:49.627182
201,B,北汽制造,北京汽车制造厂,勇士,622,2019-07-11 14:56:49.627182
202,B,北汽制造,北京汽车制造厂,勇士皮卡,4586,2019-07-11 14:56:49.627182
203,B,北汽制造,北京汽车制造厂,越铃,2960,2019-07-11 14:56:49.627182
204,B,北汽制造,北京汽车制造厂,战旗,965,2019-07-11 14:56:49.627182
205,B,北汽制造,北京汽车制造厂,战旗皮卡,3221,2019-07-11 14:56:49.627182
206,B,北汽制造,北京汽车制造厂,陆铃(停售),2959,2019-07-11 14:56:49.627182
207,B,北汽制造,北京汽车制造厂,骑士S12(停售),852,2019-07-11 14:56:49.627182
208,B,奔驰,北京奔驰,奔驰A级,4764,2019-07-11 14:56:49.627683
209,B,奔驰,北京奔驰,奔驰C级,588,2019-07-11 14:56:49.627683
210,B,奔驰,北京奔驰,奔驰E级,197,2019-07-11 14:56:49.627683
211,B,奔驰,北京奔驰,奔驰GLA,3248,2019-07-11 14:56:49.627683
212,B,奔驰,北京奔驰,奔驰GLC,3862,2019-07-11 14:56:49.627683
213,B,奔驰,北京奔驰,奔驰C级新能源(停售),4349,2019-07-11 14:56:49.627683
214,B,奔驰,北京奔驰,奔驰GLK级(停售),2562,2019-07-11 14:56:49.627683
215,B,奔驰,福建奔驰,奔驰V级,3823,2019-07-11 14:56:49.627683
216,B,奔驰,福建奔驰,凌特,2564,2019-07-11 14:56:49.627683
217,B,奔驰,福建奔驰,威霆,2084,2019-07-11 14:56:49.627683
218,B,奔驰,福建奔驰,唯雅诺(停售),2034,2019-07-11 14:56:49.627683
219,B,奔驰,奔驰(进口),Sprinter,2005,2019-07-11 14:56:49.627683
220,B,奔驰,奔驰(进口),奔驰A级(进口),52,2019-07-11 14:56:49.627683
221,B,奔驰,奔驰(进口),奔驰B级,398,2019-07-11 14:56:49.627683
222,B,奔驰,奔驰(进口),奔驰CLA级,2966,2019-07-11 14:56:49.627683
223,B,奔驰,奔驰(进口),奔驰CLS级,365,2019-07-11 14:56:49.627683
224,B,奔驰,奔驰(进口),奔驰C级(进口),56,2019-07-11 14:56:49.627683
225,B,奔驰,奔驰(进口),奔驰E级(进口),450,2019-07-11 14:56:49.627683
226,B,奔驰,奔驰(进口),奔驰GLA(进口),3079,2019-07-11 14:56:49.627683
227,B,奔驰,奔驰(进口),奔驰GLC(进口),3339,2019-07-11 14:56:49.627683
228,B,奔驰,奔驰(进口),奔驰GLE,3683,2019-07-11 14:56:49.627683
229,B,奔驰,奔驰(进口),奔驰GLS,3688,2019-07-11 14:56:49.627683
230,B,奔驰,奔驰(进口),奔驰G级,60,2019-07-11 14:56:49.627683
231,B,奔驰,奔驰(进口),奔驰SLC级,3278,2019-07-11 14:56:49.627683
232,B,奔驰,奔驰(进口),奔驰SL级,237,2019-07-11 14:56:49.627683
233,B,奔驰,奔驰(进口),奔驰S级,59,2019-07-11 14:56:49.627683
234,B,奔驰,奔驰(进口),奔驰S级新能源,4344,2019-07-11 14:56:49.627683
235,B,奔驰,奔驰(进口),威霆(进口),192,2019-07-11 14:56:49.627683
236,B,奔驰,奔驰(进口),奔驰CLK级(停售),235,2019-07-11 14:56:49.627683
237,B,奔驰,奔驰(进口),奔驰CL级(停售),683,2019-07-11 14:56:49.627683
238,B,奔驰,奔驰(进口),奔驰GLE新能源(停售),4346,2019-07-11 14:56:49.627683
239,B,奔驰,奔驰(进口),奔驰GLK级(进口)(停售),595,2019-07-11 14:56:49.627683
240,B,奔驰,奔驰(进口),奔驰GL级(停售),467,2019-07-11 14:56:49.627683
241,B,奔驰,奔驰(进口),奔驰M级(停售),57,2019-07-11 14:56:49.627683
242,B,奔驰,奔驰(进口),奔驰R级(停售),469,2019-07-11 14:56:49.627683
243,B,奔驰,奔驰(进口),奔驰SLK级(停售),267,2019-07-11 14:56:49.627683
244,B,奔驰,奔驰(进口),唯雅诺(进口)(停售),300,2019-07-11 14:56:49.627683
245,B,奔驰,梅赛德斯-AMG,AMG GT,3451,2019-07-11 14:56:49.627683
246,B,奔驰,梅赛德斯-AMG,奔驰A级AMG(进口),2842,2019-07-11 14:56:49.627683
247,B,奔驰,梅赛德斯-AMG,奔驰CLA级AMG,2967,2019-07-11 14:56:49.627683
248,B,奔驰,梅赛德斯-AMG,奔驰CLS级AMG,2719,2019-07-11 14:56:49.627683
249,B,奔驰,梅赛德斯-AMG,奔驰C级AMG,2717,2019-07-11 14:56:49.627683
250,B,奔驰,梅赛德斯-AMG,奔驰E级AMG,2718,2019-07-11 14:56:49.627683
251,B,奔驰,梅赛德斯-AMG,奔驰GLA AMG,3264,2019-07-11 14:56:49.627683
252,B,奔驰,梅赛德斯-AMG,奔驰GLC AMG,4074,2019-07-11 14:56:49.627683
253,B,奔驰,梅赛德斯-AMG,奔驰GLE AMG,3704,2019-07-11 14:56:49.627683
254,B,奔驰,梅赛德斯-AMG,奔驰GLS AMG,3901,2019-07-11 14:56:49.627683
255,B,奔驰,梅赛德斯-AMG,奔驰G级AMG,2723,2019-07-11 14:56:49.627683
256,B,奔驰,梅赛德斯-AMG,奔驰SLK级AMG,2721,2019-07-11 14:56:49.627683
257,B,奔驰,梅赛德斯-AMG,奔驰SL级AMG,2720,2019-07-11 14:56:49.627683
258,B,奔驰,梅赛德斯-AMG,奔驰S级AMG,2197,2019-07-11 14:56:49.627683
259,B,奔驰,梅赛德斯-AMG,奔驰GL级AMG(停售),2833,2019-07-11 14:56:49.627683
260,B,奔驰,梅赛德斯-AMG,奔驰M级AMG(停售),2722,2019-07-11 14:56:49.627683
261,B,奔驰,梅赛德斯-AMG,奔驰SLS级AMG(停售),914,2019-07-11 14:56:49.627683
262,B,奔驰,梅赛德斯-迈巴赫,迈巴赫S级,3665,2019-07-11 14:56:49.627683
263,B,奔腾,一汽奔腾,奔腾B30,3695,2019-07-11 14:56:49.627683
264,B,奔腾,一汽奔腾,奔腾B30EV,4584,2019-07-11 14:56:49.627683
265,B,奔腾,一汽奔腾,奔腾B50,632,2019-07-11 14:56:49.627683
266,B,奔腾,一汽奔腾,奔腾B70,466,2019-07-11 14:56:49.627683
267,B,奔腾,一汽奔腾,奔腾B90,2310,2019-07-11 14:56:49.627683
268,B,奔腾,一汽奔腾,奔腾T77,4800,2019-07-11 14:56:49.627683
269,B,奔腾,一汽奔腾,奔腾X40,4069,2019-07-11 14:56:49.627683
270,B,奔腾,一汽奔腾,奔腾X40新能源,4950,2019-07-11 14:56:49.627683
271,B,奔腾,一汽奔腾,奔腾X80,3000,2019-07-11 14:56:49.627683
272,B,本田,东风本田,INSPIRE,4809,2019-07-11 14:56:49.627683
273,B,本田,东风本田,艾力绅,2565,2019-07-11 14:56:49.627683
274,B,本田,东风本田,本田CR-V,314,2019-07-11 14:56:49.627683
275,B,本田,东风本田,本田UR-V,4304,2019-07-11 14:56:49.627683
276,B,本田,东风本田,本田XR-V,3582,2019-07-11 14:56:49.627683
277,B,本田,东风本田,哥瑞,3859,2019-07-11 14:56:49.627683
278,B,本田,东风本田,杰德,3104,2019-07-11 14:56:49.627683
279,B,本田,东风本田,竞瑞,4179,2019-07-11 14:56:49.627683
280,B,本田,东风本田,思铂睿,859,2019-07-11 14:56:49.627683
281,B,本田,东风本田,思域,135,2019-07-11 14:56:49.627683
282,B,本田,东风本田,享域,5031,2019-07-11 14:56:49.627683
283,B,本田,广汽本田,奥德赛,880,2019-07-11 14:56:49.627683
284,B,本田,广汽本田,缤智,3460,2019-07-11 14:56:49.627683
285,B,本田,广汽本田,飞度,81,2019-07-11 14:56:49.627683
286,B,本田,广汽本田,锋范,3876,2019-07-11 14:56:49.627683
287,B,本田,广汽本田,冠道,4102,2019-07-11 14:56:49.627683
288,B,本田,广汽本田,凌派,3085,2019-07-11 14:56:49.627683
289,B,本田,广汽本田,雅阁,78,2019-07-11 14:56:49.627683
290,B,本田,广汽本田,锋范经典(停售),694,2019-07-11 14:56:49.627683
291,B,本田,广汽本田,歌诗图(停售),2168,2019-07-11 14:56:49.627683
292,B,本田,广汽本田,思迪(停售),449,2019-07-11 14:56:49.627683
293,B,本田,本田(进口),INSIGHT,723,2019-07-11 14:56:49.627683
294,B,本田,本田(进口),本田CR-Z,897,2019-07-11 14:56:49.627683
295,B,本田,本田(进口),飞度(进口),900,2019-07-11 14:56:49.627683
296,B,本田,本田(进口),里程,231,2019-07-11 14:56:49.627683
297,B,本田,本田(进口),时韵(停售),233,2019-07-11 14:56:49.627683
298,B,比速汽车,比速汽车,比速M3,4173,2019-07-11 14:56:49.627683
299,B,比速汽车,比速汽车,比速T3,4164,2019-07-11 14:56:49.627683
300,B,比速汽车,比速汽车,比速T5,4298,2019-07-11 14:56:49.627683
301,B,比亚迪,比亚迪,宋Pro,5178,2019-07-11 14:56:49.627683
302,B,比亚迪,比亚迪,宋Pro新能源,5279,2019-07-11 14:56:49.627683
303,B,比亚迪,比亚迪,比亚迪e1,5009,2019-07-11 14:56:49.627683
304,B,比亚迪,比亚迪,比亚迪e6,831,2019-07-11 14:56:49.627683
305,B,比亚迪,比亚迪,比亚迪F3,407,2019-07-11 14:56:49.627683
306,B,比亚迪,比亚迪,比亚迪S2,5064,2019-07-11 14:56:49.627683
307,B,比亚迪,比亚迪,秦Pro,4900,2019-07-11 14:56:49.627683
308,B,比亚迪,比亚迪,秦Pro新能源,4972,2019-07-11 14:56:49.627683
309,B,比亚迪,比亚迪,秦新能源,2761,2019-07-11 14:56:49.627683
310,B,比亚迪,比亚迪,宋,3780,2019-07-11 14:56:49.627683
311,B,比亚迪,比亚迪,宋MAX,4279,2019-07-11 14:56:49.627683
312,B,比亚迪,比亚迪,宋MAX新能源,4831,2019-07-11 14:56:49.627683
313,B,比亚迪,比亚迪,宋新能源,4394,2019-07-11 14:56:49.627683
314,B,比亚迪,比亚迪,速锐,2806,2019-07-11 14:56:49.627683
315,B,比亚迪,比亚迪,唐,4802,2019-07-11 14:56:49.627683
