省级区域代码,省,拼音,省ID,市级区域代码,市,拼音,市ID,城市级别
H,黑龙江,heilongjiang,230000,H,鹤岗,hegang,230400,4
H,黑龙江,heilongjiang,230000,S,双鸭山,shuangyashan,230500,4
H,黑龙江,heilongjiang,230000,Q,七台河,qitaihe,230900,4
H,黑龙江,heilongjiang,230000,H,黑河,heihe,231100,4
H,黑龙江,heilongjiang,230000,D,大兴安岭,daxinganling,232700,4
J,江苏,jiangsu,320000,N,南京,nanjing,320100,2
J,江苏,jiangsu,320000,W,无锡,wuxi,320200,2
J,江苏,jiangsu,320000,X,徐州,xuzhou,320300,2
J,江苏,jiangsu,320000,C,常州,changzhou,320400,2
J,江苏,jiangsu,320000,S,苏州,suzhou,320500,2
J,江苏,jiangsu,320000,N,南通,nantong,320600,2
J,江苏,jiangsu,320000,Y,盐城,yancheng,320900,2
J,江苏,jiangsu,320000,Y,扬州,yangzhou,321000,2
J,江苏,jiangsu,320000,T,泰州,tai_zhou,321200,2
J,江苏,jiangsu,320000,L,连云港,lianyungang,320700,3
J,江苏,jiangsu,320000,H,淮安,huaian,320800,3
J,江苏,jiangsu,320000,Z,镇江,zhenjiang,321100,3
J,江苏,jiangsu,320000,S,宿迁,suqian,321300,3
J,江西,jiangxi,360000,N,南昌,nanchang,360100,2
J,江西,jiangxi,360000,G,赣州,ganzhou,360700,2
J,江西,jiangxi,360000,J,景德镇,jingdezhen,360200,3
J,江西,jiangxi,360000,J,九江,jiujiang,360400,3
J,江西,jiangxi,360000,Y,鹰潭,yingtan,360600,3
J,江西,jiangxi,360000,Y,宜春,yi_chun,360900,3
J,江西,jiangxi,360000,S,上饶,shangrao,361100,3
J,江西,jiangxi,360000,P,萍乡,ping_xiang,360300,4
J,江西,jiangxi,360000,X,新余,xinyu,360500,4
J,江西,jiangxi,360000,J,吉安,jian,360800,4
J,江西,jiangxi,360000,F,抚州,fu_zhou,361000,4
J,吉林,jilin,220000,C,长春,changchun,220100,2
J,吉林,jilin,220000,J,吉林,jilinshi,220200,3
J,吉林,jilin,220000,S,四平,siping,220300,3
J,吉林,jilin,220000,T,通化,tonghua,220500,3
J,吉林,jilin,220000,S,松原,songyuan,220700,3
J,吉林,jilin,220000,Y,延边,yanbian,222400,3
J,吉林,jilin,220000,L,辽源,liaoyuan,220400,4
J,吉林,jilin,220000,B,白山,baishan,220600,4
J,吉林,jilin,220000,B,白城,baicheng,220800,4
L,辽宁,liaoning,210000,S,沈阳,shenyang,210100,2
L,辽宁,liaoning,210000,D,大连,dalian,210200,2
L,辽宁,liaoning,210000,A,鞍山,anshan,210300,3
L,辽宁,liaoning,210000,F,抚顺,fushun,210400,3
L,辽宁,liaoning,210000,B,本溪,benxi,210500,3
L,辽宁,liaoning,210000,D,丹东,dandong,210600,3
L,辽宁,liaoning,210000,J,锦州,jinzhou,210700,3
L,辽宁,liaoning,210000,Y,营口,yingkou,210800,3
L,辽宁,liaoning,210000,F,阜新,fuxin,210900,3
L,辽宁,liaoning,210000,L,辽阳,liaoyang,211000,3
L,辽宁,liaoning,210000,P,盘锦,panjin,211100,3
L,辽宁,liaoning,210000,T,铁岭,tieling,211200,3
L,辽宁,liaoning,210000,C,朝阳,chaoyang,211300,3
L,辽宁,liaoning,210000,H,葫芦岛,huludao,211400,3
N,内蒙古,namenggu,150000,H,呼和浩特,huhehaote,150100,2
N,内蒙古,namenggu,150000,W,乌海,wuhai,150300,2
N,内蒙古,namenggu,150000,E,鄂尔多斯,eerduosi,150600,2
N,内蒙古,namenggu,150000,B,包头,baotou,150200,3
N,内蒙古,namenggu,150000,C,赤峰,chifeng,150400,3
N,内蒙古,namenggu,150000,T,通辽,tongliao,150500,3
N,内蒙古,namenggu,150000,H,呼伦贝尔,hulunbeier,150700,3
N,内蒙古,namenggu,150000,B,巴彦淖尔,bayannaoer,150800,3
N,内蒙古,namenggu,150000,W,乌兰察布,wulanchabu,150900,3
N,内蒙古,namenggu,150000,X,兴安盟,xinganmeng,152200,3
N,内蒙古,namenggu,150000,X,锡林郭勒盟,xilinguolemeng,152500,3
N,宁夏,ningxia,640000,Y,银川,yinchuan,640100,2
N,宁夏,ningxia,640000,S,石嘴山,shizuishan,640200,4
N,宁夏,ningxia,640000,W,吴忠,wuzhong,640300,4
N,宁夏,ningxia,640000,G,固原,guyuan,640400,4
N,宁夏,ningxia,640000,Z,中卫,zhongwei,640500,4
Q,青海,qinghai,630000,X,西宁,xining,630100,3
Q,青海,qinghai,630000,H,海东,haidong,630200,3
Q,青海,qinghai,630000,H,海西,haixi,632800,4
S,山东,shandong,370000,J,济南,jinan,370100,2
S,山东,shandong,370000,Q,青岛,qingdao,370200,2
S,山东,shandong,370000,Z,淄博,zibo,370300,2
S,山东,shandong,370000,Y,烟台,yantai,370600,2
S,山东,shandong,370000,W,潍坊,weifang,370700,2
S,山东,shandong,370000,J,济宁,jining,370800,2
S,山东,shandong,370000,T,泰安,taian,370900,2
S,山东,shandong,370000,L,临沂,linyi,371300,2
S,山东,shandong,370000,B,滨州,binzhou,371600,2
S,山东,shandong,370000,Z,枣庄,zaozhuang,370400,3
S,山东,shandong,370000,D,东营,dongying,370500,3
S,山东,shandong,370000,W,威海,weihai,371000,3
S,山东,shandong,370000,R,日照,rizhao,371100,3
S,山东,shandong,370000,L,莱芜,laiwu,371200,3
S,山东,shandong,370000,D,德州,dezhou,371400,3
S,山东,shandong,370000,L,聊城,liaocheng,371500,3
S,山东,shandong,370000,H,菏泽,heze,371700,3
S,山西,shanxi,140000,T,太原,taiyuan,140100,2
S,山西,shanxi,140000,D,大同,datong,140200,3
S,山西,shanxi,140000,C,长治,changzhi,140400,3
S,山西,shanxi,140000,J,晋城,jincheng,140500,3
S,山西,shanxi,140000,S,朔州,shuozhou,140600,3
S,山西,shanxi,140000,J,晋中,jinzhong,140700,3
S,山西,shanxi,140000,Y,运城,yuncheng,140800,3
S,山西,shanxi,140000,L,临汾,linfen,141000,3
S,山西,shanxi,140000,L,吕梁,lvliang,141100,3
S,山西,shanxi,140000,Y,阳泉,yangquan,140300,4
S,山西,shanxi,140000,X,忻州,xinzhou,140900,4
